"Multiplicador","Resultado","Data","Hora"
"149.64","bom","05-04-22","10:32"
"10.20","bom","05-04-22","10:31"
"4.77","bom","05-04-22","10:30"
"1.05","ruim","05-04-22","10:29"
"4.88","bom","05-04-22","10:29"
"1.42","ruim","05-04-22","10:28"
"1.39","ruim","05-04-22","10:28"
"2.06","bom","05-04-22","10:28"
"1.08","ruim","05-04-22","10:27"
"7.88","bom","05-04-22","10:27"
"1.07","ruim","05-04-22","10:27"
"1.24","ruim","05-04-22","10:25"
"1.32","ruim","05-04-22","10:25"
"1.13","ruim","05-04-22","10:25"
"1.03","ruim","05-04-22","10:25"
"2.23","bom","05-04-22","10:25"
"1.23","ruim","05-04-22","10:24"
"1.57","ruim","05-04-22","10:24"
"3.92","bom","05-04-22","10:24"
"2.48","bom","05-04-22","10:23"
"1.19","ruim","05-04-22","10:23"
"1.20","ruim","05-04-22","10:22"
"1.04","ruim","05-04-22","10:22"
"0.00","ruim","05-04-22","10:22"
"2.11","bom","05-04-22","10:22"
"24.50","bom","05-04-22","10:22"
"2.19","bom","05-04-22","10:20"
"68.75","bom","05-04-22","10:20"
"1.07","ruim","05-04-22","10:19"
"3.79","bom","05-04-22","10:19"
"1.38","ruim","05-04-22","10:18"
"1.19","ruim","05-04-22","10:18"
"2.33","bom","05-04-22","10:18"
"2.32","bom","05-04-22","10:17"
"1.02","ruim","05-04-22","10:17"
"1.66","ruim","05-04-22","10:17"
"1.42","ruim","05-04-22","10:16"
"7.92","bom","05-04-22","10:16"
"4.97","bom","05-04-22","10:15"
"2.39","bom","05-04-22","10:15"
"1.17","ruim","05-04-22","10:14"
"1.17","ruim","05-04-22","10:14"
"31.13","bom","05-04-22","10:14"
"9.17","bom","05-04-22","10:13"
"1.55","ruim","05-04-22","10:12"
"1.71","ruim","05-04-22","10:11"
"2.97","bom","05-04-22","10:11"
"1.36","ruim","05-04-22","10:11"
"1.13","ruim","05-04-22","10:10"
"1.88","ruim","05-04-22","10:10"
"2.00","bom","05-04-22","10:10"
"10.77","bom","05-04-22","10:09"
"0.00","ruim","05-04-22","10:09"
"1.48","ruim","05-04-22","10:08"
"20.73","bom","05-04-22","10:08"
"2.95","bom","05-04-22","10:07"
"2.69","bom","05-04-22","10:07"
"1.24","ruim","05-04-22","10:06"
"2.29","bom","05-04-22","10:06"
"1.17","ruim","05-04-22","10:06"
"2.45","bom","05-04-22","10:05"
"2.24","bom","05-04-22","10:05"
"1.75","ruim","05-04-22","10:05"
"1.55","ruim","05-04-22","10:04"
"3.48","bom","05-04-22","10:04"
"2.87","bom","05-04-22","10:03"
"3.66","bom","05-04-22","10:03"
"1.55","ruim","05-04-22","10:02"
"1.48","ruim","05-04-22","10:02"
"23.03","bom","05-04-22","10:02"
"1.13","ruim","05-04-22","10:01"
"1.42","ruim","05-04-22","10:01"
"4.27","bom","05-04-22","10:00"
"1.76","ruim","05-04-22","10:00"
